time,dist
0.0,0.0
1.0E-16,3.0000004514228217E-12
1.009999999999998E-14,3.030047820984594E-10
2.0099999999999998E-14,6.030196770452683E-10
3.010000000000008E-14,9.030458803611205E-10
4.0100000000000165E-14,1.2030847330371811E-9
5.010000000000025E-14,1.5031377399825753E-9
6.010000000000013E-14,1.8032065900447103E-9
7.009999999999958E-14,2.1032931781622654E-9
8.009999999999904E-14,2.4033996297072314E-9
9.009999999999849E-14,2.7035283269818275E-9
1.0009999999999794E-13,3.0036819376949666E-9
1.1009999999999739E-13,3.3038634450563527E-9
1.2009999999999686E-13,3.6040761788183222E-9
1.300999999999963E-13,3.9043238461944816E-9
1.4009999999999576E-13,4.20461056101829E-9
1.5009999999999522E-13,4.504940868746935E-9
1.6009999999999467E-13,4.805319763919738E-9
1.7009999999999412E-13,5.10575269541641E-9
1.8009999999999357E-13,5.406245553305389E-9
1.9009999999999303E-13,5.706804629260271E-9
2.0009999999999248E-13,6.007436540562628E-9
2.1009999999999193E-13,6.308148105826741E-9
2.2009999999999138E-13,6.6089461592246736E-9
2.300999999999915E-13,6.909837289840336E-9
2.400999999999935E-13,7.210827494825058E-9
2.5009999999999547E-13,7.511921740507014E-9
2.6009999999999745E-13,7.813123435808253E-9
2.700999999999994E-13,8.114433838132662E-9
2.801000000000014E-13,8.415851433004546E-9
2.901000000000034E-13,8.717371352742274E-9
3.0010000000000536E-13,9.018984921024997E-9
3.1010000000000733E-13,9.320679421261103E-9
3.201000000000093E-13,9.622438178178255E-9
3.301000000000113E-13,9.924241007925921E-9
3.4010000000001326E-13,1.0226065033649975E-8
3.5010000000001524E-13,1.052788579278246E-8
3.601000000000172E-13,1.0829678499308166E-8
3.701000000000192E-13,1.1131419289901963E-8
3.8010000000002117E-13,1.1433086289044522E-8
3.9010000000002315E-13,1.1734660372088345E-8
4.001000000000251E-13,1.2036125570674917E-8
4.101000000000271E-13,1.2337469130748562E-8
4.201000000000291E-13,1.2638681282721905E-8
4.3010000000003105E-13,1.2939754808601866E-8
4.4010000000003303E-13,1.3240684493772627E-8
4.50100000000035E-13,1.3541466538763297E-8
4.601000000000343E-13,1.384209798698391E-8
4.701000000000312E-13,1.4142576204698247E-8
4.801000000000281E-13,1.4442898433346949E-8
4.90100000000025E-13,1.4743061423309556E-8
5.00100000000022E-13,1.5043061152310934E-8
5.101000000000189E-13,1.53428926301612E-8
5.201000000000158E-13,1.5642549793394872E-8
5.301000000000128E-13,1.594202549766032E-8
5.401000000000097E-13,1.624131162154907E-8
5.501000000000066E-13,1.6540399301968966E-8
5.601000000000035E-13,1.683927932695397E-8
5.701000000000005E-13,1.713794271510278E-8
5.800999999999974E-13,1.743638150891035E-8
5.900999999999943E-13,1.7734589798197317E-8
6.000999999999913E-13,1.803256496495788E-8
6.100999999999882E-13,1.8330309097894518E-8
6.200999999999851E-13,1.8627830462510428E-8
6.30099999999982E-13,1.892514483721774E-8
6.40099999999979E-13,1.9222276456129234E-8
6.500999999999759E-13,1.9519258267122415E-8
6.600999999999728E-13,1.981613125709884E-8
6.700999999999698E-13,2.0112942738464295E-8
6.800999999999667E-13,2.040974371557741E-8
6.900999999999636E-13,2.070658569059773E-8
7.000999999999605E-13,2.1003517429761534E-8
7.100999999999575E-13,2.1300582221150614E-8
7.200999999999544E-13,2.159781600920766E-8
7.300999999999513E-13,2.1895246556096156E-8
7.400999999999482E-13,2.219289355066841E-8
7.500999999999452E-13,2.2490769433575286E-8
7.600999999999421E-13,2.2788880653391688E-8
7.70099999999939E-13,2.3087229093439292E-8
7.80099999999936E-13,2.338581347512114E-8
7.900999999999329E-13,2.36846306179671E-8
8.000999999999298E-13,2.3983676499304228E-8
8.100999999999267E-13,2.4282947100108097E-8
8.200999999999237E-13,2.458243904880972E-8
8.300999999999206E-13,2.4882150085673385E-8
8.400999999999175E-13,2.5182079371415512E-8
8.500999999999145E-13,2.548222765879858E-8
8.600999999999114E-13,2.5782597337626294E-8
8.700999999999083E-13,2.608319235355713E-8
8.800999999999052E-13,2.638401799068803E-8
8.900999999999022E-13,2.668508049788491E-8
9.000999999998991E-13,2.6986386530918767E-8
9.100999999998961E-13,2.7287942378960152E-8
9.20099999999893E-13,2.758975294856389E-8
9.3009999999989E-13,2.7891820496116774E-8
9.40099999999887E-13,2.8194143136645152E-8
9.500999999998838E-13,2.8496713217165587E-8
9.600999999998808E-13,2.8799515724591338E-8
9.700999999998777E-13,2.9102526987465412E-8
9.800999999998746E-13,2.940571399613071E-8
9.900999999998716E-13,2.9709034662247342E-8
1.0000999999998685E-12,3.001243922487256E-8
1.0100999999998654E-12,3.031587278132767E-8
1.0200999999998623E-12,3.0619278632939666E-8
1.0300999999998593E-12,3.0922601897211596E-8
1.0400999999998562E-12,3.122579275674132E-8
1.0500999999998531E-12,3.152880883024592E-8
1.06009999999985E-12,3.1831616406330486E-8
1.070099999999847E-12,3.213419056301015E-8
1.080099999999844E-12,3.243651440421733E-8
1.0900999999998408E-12,3.273857773518247E-8
1.1000999999998378E-12,3.304037548635314E-8
1.1100999999998347E-12,3.3341906123972395E-8
1.1200999999998316E-12,3.364317019758215E-8
1.1300999999998285E-12,3.3944169098096984E-8
1.1400999999998255E-12,3.424490404577078E-8
1.1500999999998224E-12,3.4545375295641E-8
1.1600999999998193E-12,3.48455815340416E-8
1.1700999999998163E-12,3.514551943803761E-8
1.1800999999998132E-12,3.5445183375582316E-8
1.1900999999998101E-12,3.574456523490303E-8
1.200099999999807E-12,3.604365438554571E-8
1.210099999999804E-12,3.634243779009903E-8
1.220099999999801E-12,3.66409003047866E-8
1.2300999999997978E-12,3.693902522854831E-8
1.2400999999997948E-12,3.72367951824491E-8
1.2500999999997917E-12,3.7534193420018905E-8
1.2600999999997886E-12,3.78312056753646E-8
1.2700999999997855E-12,3.812782263306717E-8
1.2800999999997825E-12,3.8424043027203017E-8
