time,dist
0.0,0.0
1.0E-16,3.000000916349573E-12
1.009999999999998E-14,3.0300970811284143E-10
2.0099999999999998E-14,6.030399486766186E-10
3.010000000000008E-14,9.03093153732835E-10
4.0100000000000165E-14,1.2031720522999206E-9
5.010000000000025E-14,1.5032797085965356E-9
6.010000000000013E-14,1.803419563803325E-9
7.009999999999958E-14,2.1035954826426115E-9
8.009999999999904E-14,2.4038118050825897E-9
9.009999999999849E-14,2.704073403362792E-9
1.0009999999999794E-13,3.0043857443442366E-9
1.1009999999999739E-13,3.3047549569014227E-9
1.2009999999999686E-13,3.6051879036108586E-9
1.300999999999963E-13,3.90569225532138E-9
1.4009999999999576E-13,4.206276566216465E-9
1.5009999999999522E-13,4.5069503455960765E-9
1.6009999999999467E-13,4.807724120672765E-9
1.7009999999999412E-13,5.108609482039849E-9
1.8009999999999357E-13,5.4096190999347564E-9
1.9009999999999303E-13,5.710766694824525E-9
2.0009999999999248E-13,6.012066940059652E-9
2.1009999999999193E-13,6.313535267447138E-9
2.2009999999999138E-13,6.615187539011947E-9
2.300999999999915E-13,6.917039541067448E-9
2.400999999999935E-13,7.2191062522685585E-9
2.5009999999999547E-13,7.521400839533347E-9
2.6009999999999745E-13,7.82393335066737E-9
2.700999999999994E-13,8.12670910818778E-9
2.801000000000014E-13,8.429726873129909E-9
2.901000000000034E-13,8.732976943576689E-9
3.0010000000000536E-13,9.036439470127295E-9
3.1010000000000733E-13,9.340083376975272E-9
3.201000000000093E-13,9.6438663156831E-9
3.301000000000113E-13,9.947735984650844E-9
3.4010000000001326E-13,1.0251632889872492E-8
3.5010000000001524E-13,1.0555494251084166E-8
3.601000000000172E-13,1.085925840875625E-8
3.701000000000192E-13,1.1162868923358591E-8
3.8010000000002117E-13,1.1466277662358775E-8
3.9010000000002315E-13,1.1769446488110231E-8
4.001000000000251E-13,1.2072347538367638E-8
4.101000000000271E-13,1.2374962380630297E-8
4.201000000000291E-13,1.267728045169077E-8
4.3010000000003105E-13,1.2979297180921005E-8
