time,dist
0.0,0.0
1.0E-16,9.99998847850551E-13
1.009999999999998E-14,1.0098809993411056E-10
2.0099999999999998E-14,2.0095228490645004E-10
3.010000000000008E-14,3.008916593041883E-10
4.0100000000000165E-14,4.008052950594416E-10
5.010000000000025E-14,5.006922292700561E-10
6.010000000000013E-14,6.005514629332966E-10
7.009999999999958E-14,7.003819596406927E-10
8.009999999999904E-14,8.001826442327967E-10
9.009999999999849E-14,8.999524014180138E-10
1.0009999999999794E-13,9.996900743485739E-10
1.1009999999999739E-13,1.0993944631573708E-9
1.2009999999999686E-13,1.199064323459993E-9
1.300999999999963E-13,1.2986983648153296E-9
1.4009999999999576E-13,1.3982952491506E-9
1.5009999999999522E-13,1.4978535891510778E-9
1.6009999999999467E-13,1.5973719466149483E-9
1.7009999999999412E-13,1.6968488307765521E-9
1.8009999999999357E-13,1.7962826966015164E-9
1.9009999999999303E-13,1.8956719430534316E-9
2.0009999999999248E-13,1.99501491133746E-9
2.1009999999999193E-13,2.0943098831282786E-9
2.2009999999999138E-13,2.1935550787815043E-9
2.300999999999915E-13,2.292748655537101E-9
2.400999999999935E-13,2.391888705725219E-9
2.5009999999999547E-13,2.4909732549738514E-9
2.6009999999999745E-13,2.590000260434775E-9
2.700999999999994E-13,2.6889676090367663E-9
2.801000000000014E-13,2.7878731157722117E-9
2.901000000000034E-13,2.886714522037546E-9
3.0010000000000536E-13,2.9854894940383E-9
3.1010000000000733E-13,3.0841956212777063E-9
3.201000000000093E-13,3.1828304151446625E-9
3.301000000000113E-13,3.2813913076268166E-9
3.4010000000001326E-13,3.3798756501718314E-9
3.5010000000001524E-13,3.4782807127213748E-9
3.601000000000172E-13,3.576603682951416E-9
3.701000000000192E-13,3.674841665751269E-9
3.8010000000002117E-13,3.772991682977756E-9
3.9010000000002315E-13,3.87105067352998E-9
4.001000000000251E-13,3.9690154937873846E-9
4.101000000000271E-13,4.066882918464391E-9
4.201000000000291E-13,4.164649641938929E-9
4.3010000000003105E-13,4.262312280117509E-9
4.4010000000003303E-13,4.359867372903642E-9
4.50100000000035E-13,4.457311387347595E-9
4.601000000000343E-13,4.554640721559259E-9
4.701000000000312E-13,4.651851709473481E-9
4.801000000000281E-13,4.748940626566694E-9
4.90100000000025E-13,4.845903696628624E-9
5.00100000000022E-13,4.942737099705796E-9
5.101000000000189E-13,5.03943698133677E-9
5.201000000000158E-13,5.135999463210011E-9
5.301000000000128E-13,5.232420655383296E-9
5.401000000000097E-13,5.328696670208685E-9
5.501000000000066E-13,5.4248236381164675E-9
5.601000000000035E-13,5.520797725413997E-9
5.701000000000005E-13,5.616615154259454E-9
5.800999999999974E-13,5.712272224975125E-9
5.900999999999943E-13,5.8077653408565484E-9
6.000999999999913E-13,5.903091035636177E-9
6.100999999999882E-13,5.998246003744449E-9
6.200999999999851E-13,6.0932271334996526E-9
6.30099999999982E-13,6.188031543337204E-9
6.40099999999979E-13,6.282656621157552E-9
6.500999999999759E-13,6.377100066835748E-9
