time,dist
0.0,0.0
1.0E-16,9.999982399432589E-13
1.009999999999998E-14,1.0098181778706757E-10
2.0099999999999998E-14,2.0092707926087868E-10
3.010000000000008E-14,3.008343904395098E-10
4.0100000000000165E-14,4.0070230427716047E-10
5.010000000000025E-14,5.005293166574741E-10
6.010000000000013E-14,6.003138640519483E-10
7.009999999999958E-14,7.000543210762678E-10
8.009999999999904E-14,7.997489979421768E-10
9.009999999999849E-14,8.993961378015904E-10
1.0009999999999794E-13,9.9899391397688E-10
1.1009999999999739E-13,1.0985404270725808E-9
1.2009999999999686E-13,1.1980337019617666E-9
1.300999999999963E-13,1.297471684644514E-9
1.4009999999999576E-13,1.3968522389709305E-9
1.5009999999999522E-13,1.496173143224831E-9
1.6009999999999467E-13,1.5954320865614006E-9
1.7009999999999412E-13,1.6946266652912818E-9
1.8009999999999357E-13,1.793754379006229E-9
1.9009999999999303E-13,1.892812626540998E-9
2.0009999999999248E-13,1.991798701762349E-9
2.1009999999999193E-13,2.0907097891804615E-9
2.2009999999999138E-13,2.189542959374654E-9
2.300999999999915E-13,2.288295164226717E-9
2.400999999999935E-13,2.3869632319571295E-9
2.5009999999999547E-13,2.4855438619519534E-9
2.6009999999999745E-13,2.584033619379046E-9
2.700999999999994E-13,2.682428929582014E-9
2.801000000000014E-13,2.780726072250017E-9
2.901000000000034E-13,2.8789211753513427E-9
3.0010000000000536E-13,2.977010208830331E-9
3.1010000000000733E-13,3.0749889780563286E-9
3.201000000000093E-13,3.172853117025639E-9
3.301000000000113E-13,3.2705980813072903E-9
3.4010000000001326E-13,3.3682191407324243E-9
3.5010000000001524E-13,3.465711371826073E-9
3.601000000000172E-13,3.5630696499783565E-9
3.701000000000192E-13,3.660288641359099E-9
3.8010000000002117E-13,3.757362794581318E-9
3.9010000000002315E-13,3.8542863321179454E-9
4.001000000000251E-13,3.951053241483874E-9
4.101000000000271E-13,4.047657266199303E-9
4.201000000000291E-13,4.1440918965527605E-9
4.3010000000003105E-13,4.240350360189453E-9
4.4010000000003303E-13,4.336425612558521E-9
4.50100000000035E-13,4.432310327259297E-9
4.601000000000343E-13,4.527996886338386E-9
4.701000000000312E-13,4.623477370597892E-9
4.801000000000281E-13,4.718743549990608E-9
4.90100000000025E-13,4.813786874193383E-9
5.00100000000022E-13,4.908598463466878E-9
5.101000000000189E-13,5.0031690999321955E-9
5.201000000000158E-13,5.097489219418591E-9
5.301000000000128E-13,5.1915489040664865E-9
5.401000000000097E-13,5.285337875899107E-9
5.501000000000066E-13,5.378845491618851E-9
5.601000000000035E-13,5.472060738924838E-9
5.701000000000005E-13,5.5649722347003855E-9
5.800999999999974E-13,5.657568225472409E-9
5.900999999999943E-13,5.749836590612632E-9
6.000999999999913E-13,5.841764848823727E-9
6.100999999999882E-13,5.93334016853406E-9
6.200999999999851E-13,6.024549382919514E-9
6.30099999999982E-13,6.115379010367942E-9
6.40099999999979E-13,6.205815281320181E-9
6.500999999999759E-13,6.295844172536607E-9
6.600999999999728E-13,6.385451449973344E-9
6.700999999999698E-13,6.474622721587382E-9
6.800999999999667E-13,6.5633435015259655E-9
6.900999999999636E-13,6.651599287299172E-9
7.000999999999605E-13,6.7393756516593944E-9
7.100999999999575E-13,6.826658351034733E-9
7.200999999999544E-13,6.913433452438211E-9
7.300999999999513E-13,6.999687480818744E-9
7.400999999999482E-13,7.085407588801763E-9
7.500999999999452E-13,7.170581750648358E-9
7.600999999999421E-13,7.2551989820413704E-9
7.70099999999939E-13,7.339249586926683E-9
7.80099999999936E-13,7.422725432080448E-9
7.900999999999329E-13,7.505620249280019E-9
8.000999999999298E-13,7.587929963912557E-9
8.100999999999267E-13,7.66965304751515E-9
8.200999999999237E-13,7.750790890085683E-9
8.300999999999206E-13,7.831348186021874E-9
8.400999999999175E-13,7.911333325314183E-9
8.500999999999145E-13,7.990758779138159E-9
8.600999999999114E-13,8.06964146643758E-9
8.700999999999083E-13,8.14800308562879E-9
8.800999999999052E-13,8.225870393423716E-9
8.900999999999022E-13,8.303275411263091E-9
9.000999999998991E-13,8.380255539335146E-9
9.100999999998961E-13,8.456853558916176E-9
9.20099999999893E-13,8.533117506145175E-9
9.3009999999989E-13,8.609100404443884E-9
9.40099999999887E-13,8.684859848713634E-9
9.500999999998838E-13,8.760457441845609E-9
9.600999999998808E-13,8.8359580925942E-9
9.700999999998777E-13,8.91142919268822E-9
9.800999999998746E-13,8.986939699411188E-9
9.900999999998716E-13,9.062559156781926E-9
1.0000999999998685E-12,9.138356693147676E-9
1.0100999999998654E-12,9.214400034840974E-9
1.0200999999998623E-12,9.290754574321635E-9
1.0300999999998593E-12,9.367482527135435E-9
1.0400999999998562E-12,9.444642205480705E-9
1.0500999999998531E-12,9.522287428055324E-9
