time,dist
0.0,0.0
1.0E-16,1.00000206242713E-12
1.009999999999998E-14,1.010213080185286E-10
2.0099999999999998E-14,2.0108546769251202E-10
3.010000000000008E-14,3.0119413067473367E-10
4.0100000000000165E-14,4.01349014692017E-10
5.010000000000025E-14,5.015519087446718E-10
6.010000000000013E-14,6.018046764093165E-10
7.009999999999958E-14,7.021092593241285E-10
8.009999999999904E-14,8.024676808610749E-10
9.009999999999849E-14,9.028820500066648E-10
1.0009999999999794E-13,1.003354565457696E-9
1.1009999999999739E-13,1.1038875199508732E-9
1.2009999999999686E-13,1.2044833048387983E-9
1.300999999999963E-13,1.3051444149328636E-9
1.4009999999999576E-13,1.4058734536353813E-9
1.5009999999999522E-13,1.50667313837123E-9
1.6009999999999467E-13,1.607546306353549E-9
1.7009999999999412E-13,1.708495920700476E-9
1.8009999999999357E-13,1.8095250769327757E-9
1.9009999999999303E-13,1.9106370098790365E-9
2.0009999999999248E-13,2.0118351010270796E-9
2.1009999999999193E-13,2.1131228863469972E-9
2.2009999999999138E-13,2.214504064633606E-9
2.300999999999915E-13,2.315982506406032E-9
2.400999999999935E-13,2.4175622634133478E-9
2.5009999999999547E-13,2.5192475787943354E-9
2.6009999999999745E-13,2.621042897954924E-9
2.700999999999994E-13,2.722952880220152E-9
2.801000000000014E-13,2.8249824113331352E-9
2.901000000000034E-13,2.927136616879044E-9
3.0010000000000536E-13,3.0294208767207527E-9
3.1010000000000733E-13,3.1318408405407712E-9
3.201000000000093E-13,3.2344024445972023E-9
3.301000000000113E-13,3.3371119298138298E-9
3.4010000000001326E-13,3.43997586133925E-9
3.5010000000001524E-13,3.543001149724858E-9
3.601000000000172E-13,3.6461950738925972E-9
3.701000000000192E-13,3.7495653060825585E-9
3.8010000000002117E-13,3.8531199389973365E-9
3.9010000000002315E-13,3.956867515387194E-9
4.001000000000251E-13,4.060817060356456E-9
4.101000000000271E-13,4.164978116703401E-9
4.201000000000291E-13,4.2693607836597676E-9
4.3010000000003105E-13,4.373975759438595E-9
4.4010000000003303E-13,4.478834388069127E-9
4.50100000000035E-13,4.583948711063453E-9
4.601000000000343E-13,4.68933152454419E-9
4.701000000000312E-13,4.794996442566354E-9
4.801000000000281E-13,4.90095796748144E-9
4.90100000000025E-13,5.0072315683368405E-9
5.00100000000022E-13,5.1138337684690805E-9
5.101000000000189E-13,5.220782243657797E-9
5.201000000000158E-13,5.3280959324495615E-9
5.301000000000128E-13,5.435795160563038E-9
5.401000000000097E-13,5.54390178165067E-9
5.501000000000066E-13,5.652439337136182E-9
5.601000000000035E-13,5.7614332384107085E-9
5.701000000000005E-13,5.870910975342679E-9
5.800999999999974E-13,5.980902355926521E-9
5.900999999999943E-13,6.091439782968778E-9
6.000999999999913E-13,6.202558575078572E-9
6.100999999999882E-13,6.314297340986512E-9
6.200999999999851E-13,6.426698418459822E-9
6.30099999999982E-13,6.5398083920210045E-9
6.40099999999979E-13,6.653678707518449E-9
6.500999999999759E-13,6.7683664067064826E-9
6.600999999999728E-13,6.883935011834491E-9
6.700999999999698E-13,7.0004555995427704E-9
6.800999999999667E-13,7.118008116154698E-9
6.900999999999636E-13,7.236683004310932E-9
7.000999999999605E-13,7.356583236218319E-9
7.100999999999575E-13,7.477826885339817E-9
7.200999999999544E-13,7.600550422136397E-9
7.300999999999513E-13,7.724913000334667E-9
7.400999999999482E-13,7.851102124731615E-9
7.500999999999452E-13,7.979341288638793E-9
7.600999999999421E-13,8.109900490790362E-9
7.70099999999939E-13,8.243111085728106E-9
7.80099999999936E-13,8.379387381005052E-9
7.900999999999329E-13,8.519259170088934E-9
8.000999999999298E-13,8.66342287317526E-9
8.100999999999267E-13,8.812826295748467E-9
8.200999999999237E-13,8.968818912577019E-9
8.300999999999206E-13,9.133443269140416E-9
8.400999999999175E-13,9.310075299757894E-9
8.500999999999145E-13,9.50512600768118E-9
8.600999999999114E-13,9.734378403919338E-9
