time,dist
0.0,0.0
1.0E-16,2.0000018271352203E-12
1.009999999999998E-14,2.020191182911662E-10
2.0099999999999998E-14,4.020776764465816E-10
3.010000000000008E-14,6.0217876555114E-10
4.0100000000000165E-14,8.023257316780451E-10
5.010000000000025E-14,1.0025222010017977E-9
6.010000000000013E-14,1.2027721054635216E-9
7.009999999999958E-14,1.4030797111032743E-9
8.009999999999904E-14,1.6034496493818866E-9
9.009999999999849E-14,1.803886951863896E-9
1.0009999999999794E-13,2.00439708869138E-9
1.1009999999999739E-13,2.204986011331494E-9
1.2009999999999686E-13,2.405660200169032E-9
1.300999999999963E-13,2.606426717602363E-9
1.4009999999999576E-13,2.80729326740255E-9
1.5009999999999522E-13,3.008268261225094E-9
1.6009999999999467E-13,3.209360893314847E-9
1.7009999999999412E-13,3.410581224623377E-9
1.8009999999999357E-13,3.611940277774932E-9
1.9009999999999303E-13,3.813450144576155E-9
2.0009999999999248E-13,4.015124108076729E-9
2.1009999999999193E-13,4.216976781567781E-9
2.2009999999999138E-13,4.419024267351737E-9
2.300999999999915E-13,4.6212843386751514E-9
2.400999999999935E-13,4.823776648871413E-9
2.5009999999999547E-13,5.026522972560563E-9
2.6009999999999745E-13,5.2295474847015105E-9
2.700999999999994E-13,5.432877084427758E-9
2.801000000000014E-13,5.636541771920305E-9
2.901000000000034E-13,5.84057508808581E-9
3.0010000000000536E-13,6.045014628483759E-9
3.1010000000000733E-13,6.249902644659677E-9
3.201000000000093E-13,6.455286747571063E-9
3.301000000000113E-13,6.6612207286293225E-9
3.4010000000001326E-13,6.867765513082699E-9
3.5010000000001524E-13,7.074990256251818E-9
3.601000000000172E-13,7.2829735822213596E-9
3.701000000000192E-13,7.491804941055302E-9
3.8010000000002117E-13,7.701586013827142E-9
3.9010000000002315E-13,7.912432006088875E-9
4.001000000000251E-13,8.124472507993836E-9
4.101000000000271E-13,8.337851311341664E-9
4.201000000000291E-13,8.552724083993647E-9
4.3010000000003105E-13,8.769252021577544E-9
4.4010000000003303E-13,8.987588495845003E-9
4.50100000000035E-13,9.207854560201406E-9
4.601000000000343E-13,9.43009904465567E-9
4.701000000000312E-13,9.654242541408016E-9
4.801000000000281E-13,9.880015730590218E-9
4.90100000000025E-13,1.0106921255726882E-8
5.00100000000022E-13,1.033426029873101E-8
5.101000000000189E-13,1.0561242786714109E-8
5.201000000000158E-13,1.0787142409829018E-8
5.301000000000128E-13,1.1011419342444047E-8
5.401000000000097E-13,1.1233761634889074E-8
5.501000000000066E-13,1.1454055714002532E-8
5.601000000000035E-13,1.1672326356135684E-8
5.701000000000005E-13,1.1888678607297755E-8
5.800999999999974E-13,1.21032549930147E-8
5.900999999999943E-13,1.231620863652851E-8
6.000999999999913E-13,1.2527688285913195E-8
6.100999999999882E-13,1.2737830973225651E-8
6.200999999999851E-13,1.2946759116538321E-8
6.30099999999982E-13,1.3154580016571137E-8
6.40099999999979E-13,1.3361386536114843E-8
6.500999999999759E-13,1.3567258283913128E-8
6.600999999999728E-13,1.377226294123572E-8
6.700999999999698E-13,1.3976457549080804E-8
6.800999999999667E-13,1.417988967259101E-8
6.900999999999636E-13,1.438259841168475E-8
7.000999999999605E-13,1.458461525354732E-8
7.100999999999575E-13,1.4785964775252137E-8
7.200999999999544E-13,1.498666521004528E-8
7.300999999999513E-13,1.518672889233329E-8
7.400999999999482E-13,1.53861625963308E-8
7.500999999999452E-13,1.5584967782721464E-8
7.600999999999421E-13,1.57831407674265E-8
7.70099999999939E-13,1.5980672827098196E-8
7.80099999999936E-13,1.617755025777702E-8
7.900999999999329E-13,1.6373754406919663E-8
8.000999999999298E-13,1.6569261705371152E-8
8.100999999999267E-13,1.676404373589215E-8
8.200999999999237E-13,1.6958067389763945E-8
8.300999999999206E-13,1.7151295184439218E-8
8.400999999999175E-13,1.7343685844660244E-8
8.500999999999145E-13,1.753519528814451E-8
8.600999999999114E-13,1.7725778204132354E-8
8.700999999999083E-13,1.7915390463885912E-8
8.800999999999052E-13,1.8103992643154177E-8
8.900999999999022E-13,1.8291554939515898E-8
9.000999999998991E-13,1.8478063682923704E-8
9.100999999998961E-13,1.8663529394399977E-8
9.20099999999893E-13,1.8847995871035118E-8
9.3009999999989E-13,1.903154904409717E-8
9.40099999999887E-13,1.9214323505469058E-8
9.500999999998838E-13,1.9396504012345848E-8
9.600999999998808E-13,1.9578319552146957E-8
9.700999999998777E-13,1.976002912516201E-8
9.800999999998746E-13,1.9941901030785107E-8
9.900999999998716E-13,2.01241899499166E-8
1.0000999999998685E-12,2.0307117037894724E-8
1.0100999999998654E-12,2.0490856986024395E-8
1.0200999999998623E-12,2.0675533377134037E-8
1.0300999999998593E-12,2.0861221145575048E-8
1.0400999999998562E-12,2.104795359676416E-8
1.0500999999998531E-12,2.123573135032762E-8
1.06009999999985E-12,2.1424531237252517E-8
1.070099999999847E-12,2.1614314032638742E-8
1.080099999999844E-12,2.180503059882807E-8
1.0900999999998408E-12,2.199662644830195E-8
1.1000999999998378E-12,2.2189044947265713E-8
1.1100999999998347E-12,2.2382229446401588E-8
1.1200999999998316E-12,2.2576124613024627E-8
1.1300999999998285E-12,2.2770677194534856E-8
1.1400999999998255E-12,2.2965836391763375E-8
1.1500999999998224E-12,2.3161553974417378E-8
1.1600999999998193E-12,2.3357784233130338E-8
1.1700999999998163E-12,2.3554483833887772E-8
1.1800999999998132E-12,2.3751611619536704E-8
1.1900999999998101E-12,2.394912838805205E-8
1.200099999999807E-12,2.4146996666682325E-8
1.210099999999804E-12,2.434518049374306E-8
1.220099999999801E-12,2.4543645214834588E-8
1.2300999999997978E-12,2.474235729673966E-8
1.2400999999997948E-12,2.494128415998166E-8
1.2500999999997917E-12,2.514039402933738E-8
1.2600999999997886E-12,2.533965580055235E-8
1.2700999999997855E-12,2.5539038920791193E-8
1.2800999999997825E-12,2.5738513279844876E-8
1.2900999999997794E-12,2.5938049108845384E-8
1.3000999999997763E-12,2.6137616883045852E-8
1.3100999999997733E-12,2.633718722513194E-8
1.3200999999997702E-12,2.653673080542681E-8
1.3300999999997671E-12,2.673621823533032E-8
1.340099999999764E-12,2.6935619950212434E-8
1.350099999999761E-12,2.7134906077816723E-8
1.3600999999997579E-12,2.7334046288008043E-8
1.3700999999997548E-12,2.7533009619288514E-8
1.3800999999997518E-12,2.7731764276968485E-8
1.3900999999997487E-12,2.793027739714407E-8
1.4000999999997456E-12,2.8128514769573796E-8
1.4100999999997425E-12,2.832644051123182E-8
1.4200999999997395E-12,2.852401668054583E-8
1.4300999999997364E-12,2.8721202820045235E-8
1.4400999999997333E-12,2.8917955412272118E-8
1.4500999999997302E-12,2.9114227229973675E-8
1.4600999999997272E-12,2.930996655689598E-8
1.4700999999997241E-12,2.9505116249346206E-8
1.480099999999721E-12,2.9699612600989057E-8
1.490099999999718E-12,2.989338396367605E-8
1.5000999999997149E-12,3.008634906524156E-8
1.5100999999997118E-12,3.027841495110526E-8
1.5200999999997087E-12,3.046947446103282E-8
1.5300999999997057E-12,3.065940313754503E-8
1.5400999999997026E-12,3.0848055454507265E-8
1.5500999999996995E-12,3.103526026648682E-8
