time,dist
0.0,0.0
1.0E-16,1.9999981013780624E-12
1.009999999999998E-14,2.0198013335457108E-10
2.0099999999999998E-14,4.0191928277964387E-10
3.010000000000008E-14,6.018142363998139E-10
4.0100000000000165E-14,8.016615188523802E-10
5.010000000000025E-14,1.0014573656413242E-9
6.010000000000013E-14,1.2011976970132303E-9
7.009999999999958E-14,1.400878089181636E-9
8.009999999999904E-14,1.6004937425853431E-9
9.009999999999849E-14,1.8000394468300211E-9
1.0009999999999794E-13,1.9995095418997173E-9
1.1009999999999739E-13,2.198897875178598E-9
1.2009999999999686E-13,2.398197753747045E-9
1.300999999999963E-13,2.5974018913361913E-9
1.4009999999999576E-13,2.796502349235478E-9
1.5009999999999522E-13,2.9954904703299787E-9
1.6009999999999467E-13,3.194356805324343E-9
1.7009999999999412E-13,3.393091030051702E-9
1.8009999999999357E-13,3.591681852586484E-9
1.9009999999999303E-13,3.790116908675792E-9
2.0009999999999248E-13,3.98838264375212E-9
2.1009999999999193E-13,4.186464179507476E-9
2.2009999999999138E-13,4.384345162669897E-9
2.300999999999915E-13,4.582007593243119E-9
2.400999999999935E-13,4.779431629023829E-9
2.5009999999999547E-13,4.976595362720188E-9
2.6009999999999745E-13,5.1734745674546914E-9
2.700999999999994E-13,5.370042405863015E-9
2.801000000000014E-13,5.566269097462337E-9
2.901000000000034E-13,5.762121538501304E-9
3.0010000000000536E-13,5.957562868296045E-9
3.1010000000000733E-13,6.152551976331828E-9
3.201000000000093E-13,6.347042945584537E-9
3.301000000000113E-13,6.5409844302795606E-9
3.4010000000001326E-13,6.7343189717973424E-9
3.5010000000001524E-13,6.926982266492406E-9
3.601000000000172E-13,7.1189024167687644E-9
3.701000000000192E-13,7.309999226509877E-9
3.8010000000002117E-13,7.500183651038534E-9
3.9010000000002315E-13,7.68935759071337E-9
4.001000000000251E-13,7.877414340475092E-9
4.101000000000271E-13,8.064240192193631E-9
4.201000000000291E-13,8.249717945780265E-9
4.3010000000003105E-13,8.433733409440596E-9
4.4010000000003303E-13,8.616186284340896E-9
4.50100000000035E-13,8.797006914830192E-9
4.601000000000343E-13,8.976179777325912E-9
4.701000000000312E-13,9.15377255883365E-9
4.801000000000281E-13,9.329965646696103E-9
4.90100000000025E-13,9.505071488020677E-9
5.00100000000022E-13,9.679529997075206E-9
5.101000000000189E-13,9.853870522808013E-9
5.201000000000158E-13,1.002864499240319E-8
