time,energy
0.0,0.0
1.0E-17,4.500001198644819E-19
1.0009999999999875E-14,4.501140259967919E-19
2.0010000000000557E-14,4.502415733721759E-19
3.0010000000001404E-14,4.503844969144958E-19
4.0009999999999594E-14,4.505447723403976E-19
5.0009999999997785E-14,4.507246538754134E-19
6.000999999999797E-14,4.5092671885406565E-19
7.001000000000247E-14,4.511539206906686E-19
8.001000000000697E-14,4.514096520831768E-19
9.001000000001147E-14,4.516978207934705E-19
1.0001000000001597E-13,4.520229409669233E-19
1.1001000000002048E-13,4.523902437509493E-19
1.20010000000017E-13,4.52805811995783E-19
1.3001000000000888E-13,4.532767451282323E-19
1.4001000000000076E-13,4.538113619405511E-19
1.5000999999999264E-13,4.544194510785937E-19
1.6000999999998452E-13,4.551125814349647E-19
1.700099999999764E-13,4.559044873202284E-19
1.8000999999996828E-13,4.568115456989741E-19
1.9000999999996016E-13,4.578533637368772E-19
2.0000999999995204E-13,4.590534915726604E-19
2.1000999999994391E-13,4.6044026134361785E-19
2.200099999999358E-13,4.62047715571012E-19
2.300099999999343E-13,4.639164974244886E-19
2.4000999999995144E-13,4.660943726952207E-19
2.5000999999996856E-13,4.686356185237914E-19
2.600099999999857E-13,4.715976192424787E-19
2.700100000000028E-13,4.750312787329302E-19
2.8001000000001993E-13,4.789588943746037E-19
2.9001000000003705E-13,4.83329453789413E-19
3.0001000000005417E-13,4.879417479693588E-19
3.100100000000713E-13,4.923465369216269E-19
3.200100000000884E-13,4.958056142846622E-19
3.3001000000010554E-13,4.974662889412785E-19
3.4001000000012267E-13,4.968035386809572E-19
3.500100000001398E-13,4.93989162958807E-19
3.600100000001569E-13,4.897614373459514E-19
3.7001000000017403E-13,4.849555421787023E-19
3.8001000000019116E-13,4.801729760936902E-19
3.900100000002083E-13,4.757295936979635E-19
4.000100000002254E-13,4.717391900709699E-19
4.1001000000024253E-13,4.68205616909001E-19
4.2001000000025965E-13,4.650836455443495E-19
4.3001000000027677E-13,4.62311395078363E-19
4.400100000002939E-13,4.598253053295147E-19
4.50010000000311E-13,4.57565986272546E-19
4.600100000003281E-13,4.55479717206686E-19
4.700100000003453E-13,4.535180136269277E-19
4.800100000003624E-13,4.516363911564723E-19
4.900100000003795E-13,4.497928028666591E-19
5.000100000003966E-13,4.479459016160433E-19
5.100100000004138E-13,4.460531085245565E-19
5.200100000004309E-13,4.440683587286708E-19
5.30010000000448E-13,4.419392914694142E-19
5.400100000004651E-13,4.396035107437352E-19
5.500100000004822E-13,4.369833139018294E-19
5.600100000004994E-13,4.339778837261666E-19
5.700100000005165E-13,4.304512016034565E-19
5.800100000005336E-13,4.2621252937308106E-19
5.900100000005507E-13,4.2098349800168916E-19
6.000100000005679E-13,4.1433999045958203E-19
6.10010000000585E-13,4.0560429285719927E-19
6.200100000006021E-13,3.936346093095365E-19
6.300100000006192E-13,3.7639824085567756E-19
6.400100000006364E-13,3.501326515282394E-19
6.500100000006535E-13,3.083784295339387E-19
6.600100000006706E-13,2.484314042287006E-19
6.700100000006877E-13,2.169468776801833E-19
6.800100000007048E-13,2.6507953103475746E-19
6.90010000000722E-13,3.213643202354373E-19
7.000100000007391E-13,3.582627755909364E-19
7.100100000007562E-13,3.816168084147805E-19
7.200100000007733E-13,3.9716776476196803E-19
7.300100000007905E-13,4.0810596301785595E-19
7.400100000008076E-13,4.1616320574842967E-19
7.500100000008247E-13,4.223235605024618E-19
7.600100000008418E-13,4.271766164470712E-19
7.70010000000859E-13,4.3109291516591415E-19
7.800100000008761E-13,4.343149603482502E-19
7.900100000008932E-13,4.370068569496963E-19
8.000100000009103E-13,4.392826987009767E-19
8.100100000009274E-13,4.412235078654992E-19
