time,dist
0.0,0.0
1.0E-16,1.0000007810777946E-12
1.009999999999998E-14,1.0100806952547841E-10
2.0099999999999998E-14,2.0103236946460356E-10
3.010000000000008E-14,3.0107352712676326E-10
4.0100000000000165E-14,4.011321948689511E-10
5.010000000000025E-14,5.012090520311005E-10
6.010000000000013E-14,6.013048061475392E-10
7.009999999999958E-14,7.014201942142987E-10
8.009999999999904E-14,8.015559840214187E-10
9.009999999999849E-14,9.017129755448044E-10
1.0009999999999794E-13,1.0018920024103255E-9
1.1009999999999739E-13,1.1020939334278952E-9
1.2009999999999686E-13,1.2023196741986902E-9
1.300999999999963E-13,1.3025701688010887E-9
1.4009999999999576E-13,1.4028464015612145E-9
1.5009999999999522E-13,1.5031493989074155E-9
1.6009999999999467E-13,1.6034802313131818E-9
1.7009999999999412E-13,1.703840015339047E-9
1.8009999999999357E-13,1.804229915770517E-9
1.9009999999999303E-13,1.9046511478600316E-9
2.0009999999999248E-13,2.0051049796788044E-9
2.1009999999999193E-13,2.1055927345811036E-9
2.2009999999999138E-13,2.2061157937843566E-9
2.300999999999915E-13,2.3066755990781647E-9
2.400999999999935E-13,2.4072736556598887E-9
2.5009999999999547E-13,2.5079115351014675E-9
2.6009999999999745E-13,2.60859087845998E-9
2.700999999999994E-13,2.709313399533132E-9
2.801000000000014E-13,2.8100808882629467E-9
2.901000000000034E-13,2.9108952142976606E-9
3.0010000000000536E-13,3.011758330714538E-9
3.1010000000000733E-13,3.1126722779100475E-9
3.201000000000093E-13,3.2136391876622366E-9
3.301000000000113E-13,3.3146612873687992E-9
3.4010000000001326E-13,3.4157409044668157E-9
3.5010000000001524E-13,3.5168804710387715E-9
3.601000000000172E-13,3.6180825286058126E-9
3.701000000000192E-13,3.719349733112733E-9
3.8010000000002117E-13,3.8206848601066304E-9
3.9010000000002315E-13,3.9220908101100375E-9
4.001000000000251E-13,4.0235706141854E-9
4.101000000000271E-13,4.125127439694073E-9
4.201000000000291E-13,4.226764596242235E-9
4.3010000000003105E-13,4.328485541809371E-9
4.4010000000003303E-13,4.430293889051651E-9
4.50100000000035E-13,4.5321934117698935E-9
4.601000000000343E-13,4.634188051528003E-9
4.701000000000312E-13,4.736281924404127E-9
