time,energy
0.0,0.0
1.0E-15,4.500108328010375E-19
1.1000000000000004E-14,4.501260181621892E-19
2.1E-14,4.502550067281492E-19
3.0999999999999994E-14,4.50399555747804E-19
4.1000000000000015E-14,4.505616667253348E-19
5.1000000000000035E-14,4.507436237603133E-19
6.100000000000003E-14,4.509480389047031E-19
7.099999999999999E-14,4.511779060567628E-19
8.099999999999995E-14,4.514366652964025E-19
9.09999999999999E-14,4.517282800601421E-19
1.0099999999999986E-13,4.52057330188709E-19
1.1099999999999982E-13,4.5242912469727745E-19
1.2099999999999979E-13,4.52849839167389E-19
1.3099999999999974E-13,4.533266839985535E-19
1.409999999999997E-13,4.538681114458112E-19
1.5099999999999966E-13,4.544840714504065E-19
1.6099999999999962E-13,4.551863287289677E-19
1.7099999999999957E-13,4.559888562533473E-19
1.8099999999999953E-13,4.569083225995701E-19
1.909999999999995E-13,4.579646913400216E-19
2.0099999999999945E-13,4.591819466341828E-19
2.109999999999994E-13,4.605889436802845E-19
2.2099999999999936E-13,4.622203411712298E-19
2.309999999999993E-13,4.641174745722443E-19
2.409999999999993E-13,4.6632881005317945E-19
2.5099999999999923E-13,4.689091509988351E-19
2.609999999999992E-13,4.719158107517095E-19
2.7099999999999915E-13,4.753981267797222E-19
2.809999999999991E-13,4.793736010636645E-19
2.9099999999999906E-13,4.83780337620964E-19
3.00999999999999E-13,4.88396920438787E-19
3.10999999999999E-13,4.927451968413787E-19
3.2099999999999894E-13,4.960629311240655E-19
3.309999999999989E-13,4.97507268493006E-19
3.4099999999999885E-13,4.966117102702257E-19
3.509999999999988E-13,4.936190821230001E-19
3.6099999999999876E-13,4.892991628415356E-19
3.709999999999987E-13,4.844737658898951E-19
3.809999999999987E-13,4.797148188802523E-19
3.9099999999999864E-13,4.753136449008679E-19
4.009999999999986E-13,4.713694696376874E-19
4.1099999999999855E-13,4.6787911877796E-19
4.209999999999985E-13,4.64794637553017E-19
4.3099999999999847E-13,4.620535123927074E-19
4.409999999999984E-13,4.5959243390984065E-19
4.509999999999984E-13,4.573525515506746E-19
4.609999999999983E-13,4.552807015246595E-19
4.709999999999983E-13,4.533288582032807E-19
4.809999999999983E-13,4.514528516103509E-19
4.909999999999982E-13,4.496107842554258E-19
5.009999999999982E-13,4.477612771797674E-19
5.109999999999981E-13,4.458615138351746E-19
5.209999999999981E-13,4.438649430927125E-19
5.30999999999998E-13,4.417183968335735E-19
5.40999999999998E-13,4.393582306462562E-19
5.50999999999998E-13,4.36704854796705E-19
5.609999999999979E-13,4.336545966323633E-19
5.709999999999979E-13,4.3006705018453945E-19
5.809999999999978E-13,4.2574456195228015E-19
5.909999999999978E-13,4.2039748665896373E-19
6.009999999999977E-13,4.135825396720264E-19
6.109999999999977E-13,4.045878159934566E-19
6.209999999999977E-13,3.9220731893413974E-19
6.309999999999976E-13,3.7428290132418343E-19
6.409999999999976E-13,3.4681612043931756E-19
6.509999999999975E-13,3.0312439734477296E-19
6.609999999999975E-13,2.424692894239162E-19
6.709999999999974E-13,2.187831857385964E-19
6.809999999999974E-13,2.7134642439349116E-19
6.909999999999974E-13,3.25841976943209E-19
