time,dist
0.0,0.0
1.0E-16,1.9999985725751365E-12
1.009999999999998E-14,2.019850671495408E-10
2.0099999999999998E-14,4.0193934380204616E-10
3.010000000000008E-14,6.01860443005672E-10
4.0100000000000165E-14,8.017457874971296E-10
5.010000000000025E-14,1.0015925922618224E-9
6.010000000000013E-14,1.2013978471604887E-9
7.009999999999958E-14,1.4011582980757281E-9
8.009999999999904E-14,1.6008704264655924E-9
9.009999999999849E-14,1.8005304272016143E-9
1.0009999999999794E-13,2.000134184564194E-9
1.1009999999999739E-13,2.199677246266098E-9
1.2009999999999686E-13,2.3991547953814588E-9
1.300999999999963E-13,2.598561620049173E-9
1.4009999999999576E-13,2.7978920808420185E-9
1.5009999999999522E-13,2.9971400757011173E-9
1.6009999999999467E-13,3.1962990023675587E-9
1.7009999999999412E-13,3.395361718280463E-9
1.8009999999999357E-13,3.594320497970814E-9
1.9009999999999303E-13,3.79316698806137E-9
2.0009999999999248E-13,3.991892160094937E-9
2.1009999999999193E-13,4.1904862615756E-9
2.2009999999999138E-13,4.3889387658112985E-9
2.300999999999915E-13,4.587238321435451E-9
2.400999999999935E-13,4.785372702858047E-9
2.5009999999999547E-13,4.983328763400986E-9
2.6009999999999745E-13,5.181092393530087E-9
2.700999999999994E-13,5.3786484874500325E-9
2.801000000000014E-13,5.5759809224409165E-9
2.901000000000034E-13,5.773072556742314E-9
3.0010000000000536E-13,5.969905253585224E-9
3.1010000000000733E-13,6.166459941219987E-9
3.201000000000093E-13,6.362716721523613E-9
3.301000000000113E-13,6.558655043003754E-9
3.4010000000001326E-13,6.754253957685428E-9
3.5010000000001524E-13,6.949492485247555E-9
3.601000000000172E-13,7.144350111401427E-9
3.701000000000192E-13,7.338807450052912E-9
3.8010000000002117E-13,7.532847098878387E-9
3.9010000000002315E-13,7.726454713536788E-9
4.001000000000251E-13,7.919620314051516E-9
4.101000000000271E-13,8.112339814635703E-9
4.201000000000291E-13,8.304616732280066E-9
4.3010000000003105E-13,8.496463978310874E-9
4.4010000000003303E-13,8.687905573390109E-9
4.50100000000035E-13,8.878978059436528E-9
4.601000000000343E-13,9.069731329832954E-9
4.701000000000312E-13,9.260228587746722E-9
4.801000000000281E-13,9.450545197578732E-9
4.90100000000025E-13,9.640766330115175E-9
5.00100000000022E-13,9.830983504478237E-9
5.101000000000189E-13,1.0021290353006788E-8
5.201000000000158E-13,1.0211778110499032E-8
5.301000000000128E-13,1.0402531395059485E-8
5.401000000000097E-13,1.0593624779377965E-8
5.501000000000066E-13,1.0785120474204309E-8
5.601000000000035E-13,1.0977067222220451E-8
5.701000000000005E-13,1.1169500298646037E-8
5.800999999999974E-13,1.1362442380696485E-8
5.900999999999943E-13,1.1555904994310886E-8
6.000999999999913E-13,1.1749890259291721E-8
6.100999999999882E-13,1.1944392706850927E-8
6.200999999999851E-13,1.2139401010835169E-8
6.30099999999982E-13,1.2334899537589114E-8
6.40099999999979E-13,1.2530869670302664E-8
6.500999999999759E-13,1.272729089934093E-8
6.600999999999728E-13,1.2924141692030971E-8
6.700999999999698E-13,1.3121400166832556E-8
6.800999999999667E-13,1.331904460105991E-8
6.900999999999636E-13,1.3517053801109317E-8
7.000999999999605E-13,1.371540736155062E-8
7.100999999999575E-13,1.391408583578251E-8
7.200999999999544E-13,1.4113070837054786E-8
7.300999999999513E-13,1.4312345085031196E-8
7.400999999999482E-13,1.4511892409837753E-8
7.500999999999452E-13,1.4711697722829417E-8
7.600999999999421E-13,1.491174696112376E-8
7.70099999999939E-13,1.5112027011193585E-8
7.80099999999936E-13,1.531252561547372E-8
7.900999999999329E-13,1.5513231264957453E-8
8.000999999999298E-13,1.571413308008161E-8
8.100999999999267E-13,1.5915220681805845E-8
8.200999999999237E-13,1.611648405466276E-8
8.300999999999206E-13,1.6317913403661283E-8
8.400999999999175E-13,1.65194990072612E-8
8.500999999999145E-13,1.6721231069206267E-8
8.600999999999114E-13,1.6923099572730132E-8
8.700999999999083E-13,1.7125094141547887E-8
8.800999999999052E-13,1.7327203913004408E-8
8.900999999999022E-13,1.7529417429659903E-8
9.000999999998991E-13,1.773172255634581E-8
9.100999999998961E-13,1.7934106430095168E-8
9.20099999999893E-13,1.813655545019386E-8
9.3009999999989E-13,1.8339055314705864E-8
9.40099999999887E-13,1.8541591108072722E-8
9.500999999998838E-13,1.8744147441713315E-8
9.600999999998808E-13,1.8946708646102677E-8
9.700999999998777E-13,1.9149259008738946E-8
9.800999999998746E-13,1.935178304824406E-8
9.900999999998716E-13,1.955426581100475E-8
1.0000999999998685E-12,1.9756693173851144E-8
1.0100999999998654E-12,1.9959052134765493E-8
1.0200999999998623E-12,2.0161331073838225E-8
1.0300999999998593E-12,2.0363519968692774E-8
1.0400999999998562E-12,2.0565610552170827E-8
1.0500999999998531E-12,2.076759640480214E-8
1.06009999999985E-12,2.0969472979780155E-8
1.070099999999847E-12,2.117123756326562E-8
